,host_is_superhost,cancellation_policy,instant_bookable,property_type,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price_region
7022,0,strict_14_with_grace_period,0,Serviced apartment,Entire home/apt,4.0,2.0,2.0,2.0,98.0,region 300.0-350.0
1954,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,96.0,region 50.0-100.0
684,1,moderate,1,Apartment,Private room,2.0,1.0,1.0,1.0,97.0,region 50.0-100.0
546,0,flexible,1,Serviced apartment,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
5628,1,moderate,0,Apartment,Entire home/apt,2.0,1.0,0.0,0.0,98.0,region 100.0-150.0
3628,0,strict_14_with_grace_period,0,Townhouse,Entire home/apt,4.0,1.0,2.0,2.0,99.0,region 150.0-200.0
1597,0,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
324,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,5.0,1.0,2.0,2.0,100.0,region 300.0-350.0
1026,0,strict_14_with_grace_period,1,House,Entire home/apt,6.0,3.0,3.0,3.0,96.0,region 300.0-350.0
4002,0,flexible,0,House,Private room,2.0,1.0,1.0,1.0,100.0,region 100.0-150.0
770,1,moderate,0,Apartment,Private room,2.0,1.0,1.0,2.0,99.0,region 50.0-100.0
6670,0,moderate,0,House,Entire home/apt,10.0,4.0,5.0,5.0,100.0,Others
2735,1,super_strict_30,0,Condominium,Entire home/apt,4.0,1.0,0.0,2.0,94.0,region 200.0-250.0
1004,0,flexible,1,Serviced apartment,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
914,0,strict_14_with_grace_period,0,Townhouse,Private room,1.0,1.0,1.0,1.0,96.0,region 50.0-100.0
6261,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
2433,0,moderate,0,Condominium,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 200.0-250.0
7007,0,strict_14_with_grace_period,1,Condominium,Entire home/apt,4.0,1.0,4.0,4.0,98.0,Others
2948,0,flexible,1,Boutique hotel,Private room,2.0,1.0,0.0,1.0,90.0,region 100.0-150.0
2037,1,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
7001,0,flexible,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 200.0-250.0
563,0,strict_14_with_grace_period,0,House,Entire home/apt,9.0,1.0,4.0,4.0,92.0,region 200.0-250.0
786,0,moderate,0,Apartment,Entire home/apt,1.0,1.0,1.0,1.0,93.0,region 100.0-150.0
3067,0,strict_14_with_grace_period,0,House,Shared room,1.0,1.0,1.0,1.0,94.0,region 0.0-50.0
3465,1,strict_14_with_grace_period,0,Condominium,Private room,2.0,1.0,1.0,2.0,100.0,region 150.0-200.0
1025,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 100.0-150.0
2071,1,moderate,1,Guest suite,Entire home/apt,5.0,2.0,2.0,2.0,96.0,region 250.0-300.0
5342,1,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
3164,0,flexible,1,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,88.0,region 50.0-100.0
4361,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,6.0,1.0,3.0,5.0,100.0,region 350.0-400.0
868,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,97.0,region 150.0-200.0
6960,1,strict,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
3392,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,100.0,region 100.0-150.0
6903,0,flexible,0,Condominium,Entire home/apt,4.0,1.0,2.0,2.0,98.0,region 150.0-200.0
4785,0,super_strict_60,1,Apartment,Entire home/apt,6.0,1.0,3.0,4.0,98.0,Others
5533,0,flexible,1,Apartment,Private room,2.0,1.0,1.0,1.0,98.0,region 50.0-100.0
1247,0,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,89.0,region 150.0-200.0
5799,1,strict_14_with_grace_period,1,Condominium,Private room,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
4407,1,moderate,0,Apartment,Entire home/apt,6.0,1.0,3.0,3.0,100.0,region 200.0-250.0
3615,1,moderate,1,Others,Private room,4.0,2.0,1.0,4.0,91.0,region 100.0-150.0
697,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,8.0,2.0,3.0,5.0,91.0,Others
636,0,strict_14_with_grace_period,1,Apartment,Private room,2.0,1.0,1.0,1.0,86.0,region 50.0-100.0
6108,0,strict_14_with_grace_period,1,Others,Private room,1.0,1.0,1.0,1.0,98.0,region 50.0-100.0
1933,0,strict_14_with_grace_period,1,Others,Private room,2.0,1.0,1.0,1.0,100.0,region 50.0-100.0
4283,1,moderate,1,House,Entire home/apt,6.0,3.0,3.0,3.0,98.0,region 450.0-500.0
5810,0,flexible,1,House,Private room,2.0,1.0,1.0,1.0,95.0,region 50.0-100.0
6214,0,flexible,1,Apartment,Private room,1.0,1.0,1.0,1.0,98.0,region 50.0-100.0
4999,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,7.0,2.0,4.0,4.0,98.0,Others
2821,1,flexible,0,Guest suite,Private room,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
1087,1,moderate,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 200.0-250.0
3870,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,95.0,region 100.0-150.0
3339,1,moderate,1,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,99.0,region 200.0-250.0
4715,0,moderate,1,Apartment,Entire home/apt,4.0,1.0,0.0,1.0,100.0,region 150.0-200.0
5139,1,moderate,0,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
3092,0,flexible,0,Apartment,Entire home/apt,4.0,1.0,2.0,3.0,100.0,region 150.0-200.0
3214,1,moderate,1,Apartment,Entire home/apt,2.0,1.0,2.0,2.0,99.0,region 100.0-150.0
6232,0,flexible,0,Apartment,Entire home/apt,4.0,2.0,2.0,3.0,98.0,Others
4858,1,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,99.0,region 50.0-100.0
6179,0,flexible,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 200.0-250.0
6304,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
974,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,93.0,region 100.0-150.0
5193,0,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,97.0,region 200.0-250.0
1283,1,moderate,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,99.0,region 100.0-150.0
5439,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,1.0,1.0,1.0,1.0,98.0,region 250.0-300.0
2842,0,moderate,0,House,Private room,1.0,1.0,1.0,1.0,91.0,region 50.0-100.0
5766,1,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,100.0,region 50.0-100.0
6772,0,flexible,1,House,Entire home/apt,6.0,2.0,3.0,3.0,98.0,region 200.0-250.0
6383,1,strict_14_with_grace_period,1,Others,Entire home/apt,2.0,1.0,0.0,1.0,93.0,region 50.0-100.0
1815,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,90.0,region 50.0-100.0
122,1,strict_14_with_grace_period,0,House,Shared room,1.0,2.0,1.0,1.0,95.0,region 0.0-50.0
6264,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
1536,0,strict_14_with_grace_period,0,House,Entire home/apt,4.0,1.0,2.0,2.0,93.0,region 450.0-500.0
2621,0,flexible,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,100.0,region 100.0-150.0
3689,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,98.0,region 100.0-150.0
4317,1,moderate,1,Apartment,Private room,2.0,1.0,1.0,1.0,98.0,region 50.0-100.0
5938,1,strict_14_with_grace_period,0,Condominium,Entire home/apt,4.0,1.0,1.0,2.0,100.0,region 200.0-250.0
2411,1,strict_14_with_grace_period,0,House,Entire home/apt,4.0,2.0,2.0,2.0,99.0,region 300.0-350.0
6580,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
4111,1,moderate,1,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,98.0,region 250.0-300.0
2009,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,2.0,2.0,3.0,98.0,region 200.0-250.0
3494,0,moderate,1,House,Entire home/apt,8.0,2.0,2.0,4.0,85.0,region 150.0-200.0
3423,0,strict_14_with_grace_period,1,House,Private room,2.0,1.0,1.0,1.0,91.0,region 50.0-100.0
5150,1,flexible,1,Boutique hotel,Private room,4.0,2.0,1.0,2.0,98.0,region 300.0-350.0
6496,0,strict_14_with_grace_period,1,House,Private room,3.0,1.0,2.0,2.0,95.0,region 50.0-100.0
452,1,moderate,0,Condominium,Private room,2.0,1.0,1.0,1.0,97.0,region 100.0-150.0
441,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,94.0,region 250.0-300.0
614,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,97.0,region 250.0-300.0
6719,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 200.0-250.0
6226,0,moderate,1,Apartment,Private room,2.0,1.0,1.0,1.0,98.0,region 250.0-300.0
3842,1,strict_14_with_grace_period,1,House,Private room,2.0,2.0,1.0,1.0,99.0,region 50.0-100.0
4403,1,strict_14_with_grace_period,1,Apartment,Private room,2.0,1.0,1.0,1.0,95.0,region 150.0-200.0
3927,1,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
428,1,strict_14_with_grace_period,0,Others,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
551,0,strict_14_with_grace_period,0,House,Entire home/apt,6.0,2.0,3.0,4.0,97.0,region 250.0-300.0
2173,1,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
6696,0,moderate,0,House,Entire home/apt,5.0,1.0,2.0,3.0,90.0,region 200.0-250.0
5978,0,flexible,0,Apartment,Entire home/apt,4.0,1.0,1.0,1.0,98.0,region 200.0-250.0
310,1,moderate,1,House,Private room,4.0,1.0,2.0,3.0,99.0,region 50.0-100.0
1634,0,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,97.0,region 50.0-100.0
3980,1,moderate,1,Apartment,Private room,2.0,1.0,1.0,1.0,96.0,region 50.0-100.0
1179,1,moderate,0,Apartment,Private room,1.0,1.0,1.0,1.0,96.0,region 150.0-200.0
5141,0,flexible,1,House,Private room,2.0,1.0,1.0,1.0,98.0,region 50.0-100.0
1949,0,moderate,0,Apartment,Entire home/apt,6.0,2.0,3.0,3.0,93.0,region 100.0-150.0
5084,0,moderate,1,Boutique hotel,Private room,2.0,1.0,1.0,1.0,100.0,region 300.0-350.0
5624,1,flexible,0,House,Private room,2.0,1.0,1.0,1.0,90.0,region 200.0-250.0
4615,0,flexible,1,Apartment,Private room,1.0,1.0,1.0,1.0,98.0,region 50.0-100.0
5933,0,flexible,0,Condominium,Private room,2.0,1.0,1.0,1.0,93.0,region 0.0-50.0
4365,1,moderate,0,House,Entire home/apt,4.0,2.0,2.0,2.0,97.0,region 200.0-250.0
4750,1,flexible,0,House,Private room,2.0,1.0,1.0,1.0,100.0,region 50.0-100.0
6852,0,super_strict_30,1,House,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 100.0-150.0
6249,0,moderate,0,Apartment,Entire home/apt,5.0,2.0,3.0,3.0,98.0,region 150.0-200.0
3572,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,6.0,2.0,3.0,3.0,99.0,Others
2657,0,moderate,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,93.0,region 100.0-150.0
1267,0,moderate,0,Apartment,Entire home/apt,6.0,2.0,3.0,3.0,98.0,region 400.0-450.0
1459,1,moderate,1,House,Private room,2.0,3.0,1.0,1.0,95.0,region 50.0-100.0
964,1,strict_14_with_grace_period,0,House,Entire home/apt,8.0,1.0,4.0,4.0,98.0,region 350.0-400.0
362,1,moderate,1,Apartment,Entire home/apt,5.0,1.0,3.0,3.0,95.0,region 100.0-150.0
6644,1,moderate,1,Others,Private room,2.0,1.0,1.0,1.0,96.0,region 100.0-150.0
6488,0,strict_14_with_grace_period,0,House,Entire home/apt,8.0,1.0,4.0,5.0,100.0,Others
