,price
1792,399.0
3434,1195.0
3141,80.0
779,200.0
4390,65.0
63,99.0
426,153.0
93,80.0
1101,180.0
5835,280.0
1846,1000.0
5331,300.0
153,185.0
6189,100.0
1244,200.0
158,135.0
919,95.0
180,75.0
5353,300.0
212,250.0
4438,210.0
5556,129.0
5316,250.0
3866,151.0
3342,115.0
1485,105.0
4433,99.0
1646,109.0
2503,225.0
4576,129.0
518,199.0
4144,500.0
86,46.0
4861,224.0
1183,125.0
446,675.0
1848,129.0
6874,504.0
2989,159.0
2810,172.0
1776,110.0
6982,450.0
4857,52.0
1081,220.0
2835,85.0
4012,155.0
3639,332.0
6919,150.0
6141,53.0
6076,500.0
6173,529.0
1798,400.0
7050,71.0
152,69.0
143,56.0
467,180.0
1335,110.0
6603,169.0
5546,250.0
2504,205.0
627,60.0
3285,80.0
5198,174.0
1143,105.0
571,259.0
5520,358.0
913,133.0
2401,115.0
7030,204.0
3074,80.0
3650,350.0
5928,199.0
3195,125.0
6989,199.0
3007,80.0
2463,85.0
5581,243.0
5892,250.0
260,115.0
7076,199.0
4852,137.0
6057,225.0
5191,90.0
930,195.0
4423,120.0
3583,189.0
7036,125.0
2972,250.0
6315,150.0
5328,250.0
5901,500.0
5731,350.0
2676,179.0
1788,1100.0
5425,225.0
5605,160.0
6061,190.0
1313,175.0
3849,89.0
2331,500.0
3710,140.0
855,300.0
6546,200.0
1800,195.0
2008,162.0
2960,150.0
2551,185.0
7133,1200.0
1878,229.0
4738,180.0
3288,159.0
5390,125.0
4562,79.0
4559,138.0
123,125.0
5483,70.0
728,85.0
4645,71.0
972,219.0
2836,300.0
2838,199.0
6086,159.0
5293,250.0
2520,141.0
1745,485.0
4363,299.0
3306,400.0
783,200.0
3707,200.0
5804,244.0
435,395.0
4411,595.0
1923,125.0
3316,238.0
689,47.0
1078,99.0
2489,100.0
535,210.0
1397,225.0
2407,150.0
782,166.0
5679,105.0
580,95.0
4599,65.0
1231,133.0
547,181.0
3377,120.0
3706,220.0
2235,189.0
4779,79.0
2889,500.0
664,200.0
6430,252.0
5401,260.0
6695,110.0
5714,667.0
2205,125.0
1118,250.0
3890,220.0
550,297.0
3257,120.0
2364,98.0
1812,60.0
3697,125.0
2888,40.0
6071,249.0
3911,206.0
2245,185.0
2228,550.0
1369,199.0
864,175.0
5941,125.0
4586,86.0
3472,220.0
4817,1450.0
4214,60.0
4820,140.0
3284,109.0
5333,69.0
1059,299.0
3917,70.0
2180,99.0
486,145.0
2168,145.0
2751,750.0
5819,95.0
2729,549.0
3223,350.0
4519,102.0
5399,600.0
5749,175.0
3971,100.0
6008,450.0
6307,170.0
1465,64.0
1194,155.0
6510,109.0
6971,139.0
2873,100.0
3559,240.0
1084,210.0
6856,424.0
2533,1350.0
6933,71.0
5713,150.0
536,99.0
5355,177.0
1820,195.0
4473,135.0
5775,200.0
5795,57.0
2646,179.0
3609,140.0
6785,50.0
4150,85.0
1362,175.0
5916,150.0
4143,90.0
1787,710.0
5169,112.0
4380,35.0
6028,38.0
5152,549.0
3008,149.0
1683,688.0
3228,157.0
2403,175.0
5975,269.0
891,69.0
1462,180.0
1506,156.0
2164,299.0
1487,300.0
6380,177.0
3981,99.0
431,520.0
2900,99.0
1098,189.0
2513,120.0
1809,225.0
4457,85.0
1223,100.0
5505,150.0
4451,93.0
2486,155.0
4119,147.0
6666,699.0
4903,325.0
2882,125.0
268,70.0
157,40.0
6489,80.0
5512,90.0
4854,85.0
2395,300.0
3276,40.0
4045,90.0
5457,90.0
880,95.0
602,149.0
717,141.0
5688,195.0
2949,119.0
2336,155.0
2467,43.0
1568,350.0
98,120.0
1537,50.0
5278,150.0
